site,severity,H
GRNCAR,unb,0.37677016125643675
GRNDAM,unb,0.6779087256441981
GRNHOU,unb,1.1877796262219498
GRNKAN,unb,1.171059869990371
GRNMAS,unb,1.2275294114572128
GRNQUA,unb,0.5004024235381879
GRNSNO,unb,0.5146531654289292
GRNTUR,unb,0.8953326659680909
GRNWOO,unb,1.3016518932729433
HIBADR,high,0.545969299888879
HICAMP,high,0.7659373365785205
HICORN,high,0
HICOWS,high,0.6019239717322894
HIDODD,high,0.4283676329729558
HISHRU,high,0.5735160760972796
HISQUE,high,0
HITEDD,high,0
HIWALK,high,0
MIXBUS,mod,0.8192299997020129
MIXBUT,mod,0.48509409130221154
MIXDP2,mod,0.796311640173813
MIXMID,mod,0.22371807606583377
MIXMIX,mod,0.37677016125643664
MIXMOR,mod,1.1782313535455413
MIXRAV,mod,0.34883209584303193
MIXRIV,mod,0.9368883075390159
MIXWAT,mod,0.5004024235381879
