site,effort
GRNCAR,0.996666666666667
GRNDAM,0.99
GRNHOU,0.988333333333333
GRNKAN,0.986666666666667
GRNMAS,0.971666666666667
GRNQUA,0.981666666666667
GRNSNO,0.981666666666667
GRNTUR,0.935
GRNWOO,0.95
HIBADR,0.976666666666667
HICAMP,0.846666666666667
HICORN,0.985
HICOWS,0.965
HIDODD,0.965
HISHRU,0.951666666666667
HISQUE,0.93
HITEDD,0.983333333333333
HIWALK,0.965
MIXBUS,0.948333333333333
MIXBUT,0.958333333333333
MIXDP2,0.983333333333333
MIXMID,0.991666666666667
MIXMIX,0.975
MIXMOR,0.966666666666667
MIXRAV,0.941666666666667
MIXRIV,0.963333333333333
MIXWAT,0.955
