A1,0,90,1 1 1
A10,0,0,1 1 1
A2,0,80,1 1 1
A3,0,70,1 0.5 1
A4,0,60,1 0.5 1
A5,0,50,1 1 1
A6,0,40,0.5 1 0.5
A7,0,30,1 1 0.5
A8,0,20,1 1 1
A9,0,10,1 1 1
B1,10,90,1 1 1
B10,10,0,1 1 0.5
B2,10,80,1 1 1
B3,10,70,1 1 1
B4,10,60,1 1 1
B5,10,50,1 1 1
B6,10,40,1 1 0.5
B7,10,30,1 1 1
B8,10,20,1 1 1
B9,10,10,1 1 1
C1,20,90,1 1 1
C10,20,0,1 1 0.5
C2,20,80,1 1 1
C3,20,70,1 1 1
C4,20,60,1 1 1
C5,20,50,1 0 1
C6,20,40,1 1 1
C7,20,30,1 1 1
C8,20,20,1 0 1
C9,20,10,1 1 1
D1,30,90,1 1 1
D10,30,0,1 1 1
D2,30,80,1 1 1
D3,30,70,0.5 1 1
D4,30,60,1 1 1
D5,30,50,0.5 1 1
D6,30,40,1 1 1
D7,30,30,1 1 1
D8,30,20,1 1 1
D9,30,10,1 1 1
E1,40,90,1 1 1
E10,40,0,1 1 1
E2,40,80,1 1 1
E3,40,70,1 1 0
E4,40,60,1 1 1
E5,40,50,1 1 1
E6,40,40,1 0.5 1
E7,40,30,1 1 1
E8,40,20,1 1 1
E9,40,10,1 1 1
F1,50,90,0.5 0.5 0
F10,50,0,1 0.5 1
F2,50,80,1 0.5 1
F3,50,70,0.5 0.5 0
F4,50,60,0.5 0.5 1
F5,50,50,1 0.5 1
F6,50,40,1 1 1
F7,50,30,1 1 1
F8,50,20,1 1 0
F9,50,10,1 1 1
G1,60,90,1 1 1
G10,60,0,1 1 0
G2,60,80,1 1 1
G3,60,70,0.5 1 1
G4,60,60,0.5 1 1
G5,60,50,0.5 1 1
G6,60,40,1 1 1
G7,60,30,1 1 1
G8,60,20,1 1 1
G9,60,10,1 1 1
H1,70,90,1 1 1
H10,70,0,1 1 1
H2,70,80,1 1 1
H3,70,70,1 1 1
H4,70,60,1 1 1
H5,70,50,0.5 1 1
H6,70,40,1 1 1
H7,70,30,1 1 1
H8,70,20,1 1 1
H9,70,10,1 1 1
I1,80,90,1 1 1
I10,80,0,1 1 1
I2,80,80,1 1 1
I3,80,70,1 1 1
I4,80,60,1 1 1
I5,80,50,1 1 1
I6,80,40,1 1 1
I7,80,30,1 1 1
I8,80,20,1 1 1
I9,80,10,1 1 1
J1,90,90,1 1 1
J10,90,0,0.5 1 1
J2,90,80,1 1 1
J3,90,70,1 1 1
J4,90,60,1 1 1
J5,90,50,1 1 1
J6,90,40,0.5 1 1
J7,90,30,0.5 1 1
J8,90,20,1 1 1
J9,90,10,0.5 1 1
