site,severity,evt,n
GRNCAR,unb,3027,6
GRNCAR,unb,3028,274
GRNCAR,unb,3031,2
GRNCAR,unb,3152,2
GRNDAM,unb,3027,22
GRNDAM,unb,3028,227
GRNDAM,unb,3031,3
GRNDAM,unb,3152,30
GRNHOU,unb,3028,254
GRNHOU,unb,3031,2
GRNHOU,unb,3152,18
GRNKAN,unb,3027,217
GRNKAN,unb,3028,63
GRNMAS,unb,3027,29
GRNMAS,unb,3028,218
GRNMAS,unb,3031,11
GRNMAS,unb,3034,1
GRNMAS,unb,3098,4
GRNMAS,unb,3221,9
GRNQUA,unb,3028,42
GRNQUA,unb,3029,2
GRNQUA,unb,3031,4
GRNQUA,unb,3032,190
GRNQUA,unb,3098,4
GRNQUA,unb,3138,2
GRNQUA,unb,3152,24
GRNQUA,unb,3221,1
GRNSNO,unb,3028,109
GRNSNO,unb,3031,6
GRNSNO,unb,3032,102
GRNSNO,unb,3098,8
GRNSNO,unb,3135,1
GRNSNO,unb,3138,19
GRNSNO,unb,3152,28
GRNSNO,unb,3221,1
GRNTUR,unb,3028,256
GRNTUR,unb,3031,3
GRNTUR,unb,3098,8
GRNWOO,unb,3027,142
GRNWOO,unb,3028,116
GRNWOO,unb,3031,19
GRNWOO,unb,3152,6
HIBADR,high,3027,3
HIBADR,high,3098,268
HIBADR,high,3138,2
HICAMP,high,3028,74
HICAMP,high,3031,8
HICAMP,high,3098,128
HICAMP,high,3138,41
HICAMP,high,3152,17
HICAMP,high,3181,1
HICAMP,high,3221,3
HICORN,high,3028,4
HICORN,high,3031,4
HICORN,high,3098,269
HICOWS,high,3098,271
HIDODD,high,3027,3
HIDODD,high,3028,2
HIDODD,high,3031,1
HIDODD,high,3098,266
HIDODD,high,3138,4
HISHRU,high,3027,1
HISHRU,high,3028,1
HISHRU,high,3098,241
HISHRU,high,3138,31
HISQUE,high,3027,17
HISQUE,high,3028,13
HISQUE,high,3098,233
HISQUE,high,3138,7
HITEDD,high,3027,6
HITEDD,high,3028,4
HITEDD,high,3098,216
HITEDD,high,3138,45
HITEDD,high,3152,3
HIWALK,high,3027,2
HIWALK,high,3098,270
HIWALK,high,3138,1
MIXBUS,mod,3027,7
MIXBUS,mod,3028,240
MIXBUS,mod,3031,12
MIXBUS,mod,3098,14
MIXBUT,mod,3028,156
MIXBUT,mod,3029,1
MIXBUT,mod,3031,7
MIXBUT,mod,3032,48
MIXBUT,mod,3034,1
MIXBUT,mod,3098,25
MIXBUT,mod,3138,39
MIXBUT,mod,3221,1
MIXDP2,mod,3002,4
MIXDP2,mod,3027,77
MIXDP2,mod,3028,218
MIXDP2,mod,3030,1
MIXDP2,mod,3031,4
MIXDP2,mod,3098,366
MIXDP2,mod,3135,2
MIXMID,mod,3002,3
MIXMID,mod,3027,73
MIXMID,mod,3028,159
MIXMID,mod,3031,9
MIXMID,mod,3098,33
MIXMID,mod,3221,1
MIXMIX,mod,3028,261
MIXMIX,mod,3098,8
MIXMIX,mod,3138,2
MIXMOR,mod,3027,35
MIXMOR,mod,3028,205
MIXMOR,mod,3031,26
MIXMOR,mod,3098,4
MIXMOR,mod,3138,2
MIXRAV,mod,3027,26
MIXRAV,mod,3028,218
MIXRAV,mod,3098,30
MIXRAV,mod,3138,1
MIXRAV,mod,3152,1
MIXRIV,mod,3027,20
MIXRIV,mod,3028,188
MIXRIV,mod,3031,1
MIXRIV,mod,3098,22
MIXRIV,mod,3152,46
MIXWAT,mod,3027,40
MIXWAT,mod,3028,197
MIXWAT,mod,3029,5
MIXWAT,mod,3031,1
MIXWAT,mod,3098,25
MIXWAT,mod,3138,1
MIXWAT,mod,3152,1
