site,severity,n,n_adj,n_pema,n_adj_pema,n_sotr,n_adj_sotr,biomass
GRNCAR,unb,8,8.02675585284281,7,7.035175879396984,1,1.015228426395939,133.17708333333334
GRNDAM,unb,17,17.171717171717173,13,13.220338983050848,3,3.103448275862069,218.83333333333334
GRNHOU,unb,24,24.283305227655987,14,14.408233276157803,5,5.2264808362369335,496.6770833333333
GRNKAN,unb,15,15.202702702702704,7,7.191780821917808,1,1.0380622837370244,251.51041666666666
GRNMAS,unb,20,20.58319039451115,12,12.521739130434783,4,4.232804232804233,672.5208333333334
GRNQUA,unb,20,20.37351443123939,16,16.41025641025641,4,4.18848167539267,314.1875
GRNSNO,unb,19,19.35483870967742,15,15.384615384615383,4,4.181184668989547,257.6666666666667
GRNTUR,unb,14,14.973262032085561,10,10.771992818671455,1,1.094890510948905,925.6666666666666
GRNWOO,unb,22,23.157894736842106,9,9.694793536804308,6,6.498194945848375,584.34375
HIBADR,high,29,29.69283276450512,24,24.784853700516354,NA,0,829.9714548802947
HICAMP,high,19,22.440944881889767,13,15.53784860557769,NA,0,2468
HICORN,high,57,57.868020304568525,57,57.868020304568525,NA,0,926.8333333333334
HICOWS,high,16,16.580310880829014,13,13.541666666666666,NA,0,254.66666666666666
HIDODD,high,34,35.233160621761655,30,31.304347826086953,NA,0,659.1178637200736
HISHRU,high,27,28.371278458844134,23,24.33862433862434,NA,0,1293.5
HISQUE,high,13,13.978494623655914,13,13.978494623655914,NA,0,231.68692449355433
HITEDD,high,27,27.45762711864407,27,27.45762711864407,NA,0,431.1178637200737
HIWALK,high,17,17.616580310880828,17,17.616580310880828,NA,0,338.6666666666667
MIXBUS,mod,22,23.198594024604567,13,13.928571428571429,NA,0,1035.5
MIXBUT,mod,15,15.652173913043477,13,13.612565445026178,NA,0,797.3333333333334
MIXDP2,mod,7,7.118644067796611,5,5.102040816326531,1,1.0273972602739725,180.33333333333334
MIXMID,mod,17,17.142857142857142,16,16.161616161616163,NA,0,192.16666666666666
MIXMIX,mod,8,8.205128205128204,7,7.191780821917808,NA,0,143.16666666666666
MIXMOR,mod,46,47.58620689655173,27,28.87700534759358,4,4.4609665427509295,2992.1770833333335
MIXRAV,mod,18,19.115044247787612,16,17.05150976909414,NA,0,440.1178637200737
MIXRIV,mod,9,9.342560553633218,5,5.2264808362369335,NA,0,643.1666666666666
MIXWAT,mod,5,5.2356020942408374,4,4.195804195804196,NA,0,147
