site,PD,severity,PD_nosorex
GRNCAR,184,unb,13.97496
GRNDAM,179.689535,unb,45.18205999999999
GRNHOU,290.7941814379085,unb,172.8251957894737
GRNKAN,153.53948415584418,unb,41.549808
GRNMAS,330.7804598214285,unb,192.77752
GRNQUA,184,unb,13.97496
GRNSNO,184,unb,13.97496
GRNTUR,303.54184436974793,unb,223.87156689655177
GRNWOO,217.70835044334973,unb,54.30258222222222
MIXBUS,190.53332679245284,mod,190.53332679245284
MIXBUT,244.44240500000004,mod,244.44240500000004
MIXDP2,174.309236,mod,45.18206
MIXMID,137.92000000000002,mod,137.92000000000002
MIXMIX,27.94992,mod,27.94992
MIXMOR,241.55218374193547,mod,164.77302666666668
MIXRAV,137.92000000000002,mod,137.92000000000002
MIXRIV,184.50154181818186,mod,184.50154181818186
MIXWAT,137.92000000000002,mod,137.92000000000002
HIBADR,235.97003809523812,high,235.97003809523812
HICAMP,142.36072615384617,high,142.36072615384617
HICOWS,47.33585828571428,high,47.33585828571428
HIDODD,120.59570747474748,high,120.59570747474748
HISHRU,341.94236547486037,high,341.94236547486037
HICORN,13.97496,high,13.97496
HISQUE,13.97496,high,13.97496
HITEDD,13.97496,high,13.97496
HIWALK,13.97496,high,13.97496
