site,severity,avg_pixel,dist_to_edge
GRNCAR,unb,0,-3723.644574667105
GRNDAM,unb,0,-371.3489783940457
GRNHOU,unb,0,-557.5164217729651
GRNKAN,unb,0,-4770.413861931034
GRNMAS,unb,0,-1053.7567150116936
GRNQUA,unb,0.3903345724907063,-113.38164783920669
GRNSNO,unb,1.4452554744525548,-102.53350419134514
GRNTUR,unb,0.40074906367041196,-165.57968131258855
GRNWOO,unb,0,-2133.2621941070206
HIBADR,high,3.989010989010989,1253.2657149149707
HICAMP,high,3.452205882352941,517.8066015198754
HICORN,high,3.9711191335740073,2960.220650402743
HICOWS,high,4,1018.5146367615249
HIDODD,high,3.9782608695652173,1570.769100148736
HISHRU,high,3.9927007299270074,2253.8132616203816
HISQUE,high,3.888888888888889,1828.9585186036888
HITEDD,high,3.9525547445255476,2885.753668844198
HIWALK,high,3.9926739926739927,1240.1792118551675
MIXBUS,mod,2.0256410256410255,245.69607351614343
MIXBUT,mod,2.773381294964029,689.5426904299675
MIXDP2,mod,3.3511904761904763,762.551693593657
MIXMID,mod,2.1510791366906474,631.195671412092
MIXMIX,mod,2.003690036900369,1385.5687597149351
MIXMOR,mod,1.7610294117647058,318.5583310191694
MIXRAV,mod,2.550724637681159,514.6202245182793
MIXRIV,mod,2.454873646209386,410.9195389554165
MIXWAT,mod,1.8925925925925926,160.2105452371079
