binomial,species,mass,guild,nests,forag
Glaucomys sabrinus,GLSA,119,Omnivore,Tree,Arboreal
Neotamias amoenus,NEAM,48.625,Omnivore,Burrow,Scansorial
Neotamias quadrimaculatus,NEQU,81.44872,Omnivore,Tree,Scansorial
Neotamias senex,NESE,68.12963,Omnivore,Tree,Ground
Neotoma fuscipes,NEFU,189.11111,Herbivore,Tree,Arboreal
Otospermophilus beecheyi,OTBE,546.13333,Omnivore,Burrow,Ground
Peromyscus boylii,PEBO,18.83333,Omnivore,Hollow,Scansorial
Peromyscus maniculatus,PEMA,17.4512,Omnivore,Hollow,Scansorial
Peromyscus truei,PETR,20.5,Herbivore,Hollow,Scansorial
Reithrodontomys megalotis,REME,20,Herbivore,Hollow,Scansorial
Sorex trowbridgii,SOTR,4.84375,Insectivore,Burrow,Ground
